Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month
A723550,*Luna,6108 Calmar Cove Unit B in Austin (TX),Stray,Nursing,Cat,Intact Female,0.0,Domestic Shorthair Mix,Black,Spayed Female,0.25,0.0,2016,4,2016,7,2016,4
A781739,,9708 Eastwend Drive in Austin (TX),Stray,Normal,Dog,Intact Male,0.16666666666666666,Chinese Sharpei Mix,Tan,Neutered Male,0.16666666666666666,0.0,2018,10,2018,10,2018,7
A804423,Hayden,Travis (TX),Owner Surrender,Normal,Other,Intact Male,0.25,Rat,White/Brown,Intact Male,0.25,0.0,2019,9,2019,9,2019,6
A753760,,900 Barton Springs in Austin (TX),Wildlife,Normal,Other,Unknown,1.0,Bat Mix,Brown,Unknown,1.0,1.0,2017,7,2017,7,2016,7
A745184,Lola,1111 Vasquez St in Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Black Mouth Cur Mix,Red/Black,Spayed Female,1.0,0.0,2017,3,2017,3,2016,3
A790875,Winston,Spicewood Springs Road And White Cliff Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,7.0,Pit Bull Mix,White/Brown Brindle,Neutered Male,7.0,0.0,2019,3,2019,3,2012,3
A668350,,14100 Joyce in Leander (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Australian Shepherd Mix,Black/Tricolor,Intact Female,0.08333333333333333,0.0,2013,12,2013,12,2013,10
A788398,,300 Block East Brenham Street in Manor (TX),Stray,Normal,Dog,Intact Male,5.0,Irish Wolfhound Mix,Black/White,Intact Male,5.0,0.0,2019,2,2019,2,2014,2
A723405,*Dale,10727 Old Lockhart Road in Travis (TX),Stray,Normal,Dog,Intact Male,4.0,Australian Cattle Dog Mix,Blue Merle,Neutered Male,4.0,0.0,2016,3,2016,4,2012,3
A692890,*Candy,7007 Stonleigh Pl in Austin (TX),Stray,Normal,Dog,Spayed Female,1.0,Boxer Mix,Brown Brindle/White,Spayed Female,1.0,0.0,2014,11,2014,12,2013,11
A809395,,12409 Sky Harbor in Travis (TX),Stray,Normal,Dog,Intact Female,0.057692307692307696,Chihuahua Longhair Mix,White/Brown,Intact Female,0.057692307692307696,0.0,2019,11,2019,11,2019,11
A783408,*Astar,Thompson Lane And South Us Highway 183 in Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Beagle/Catahoula,White/Black,Intact Female,1.0,0.0,2018,10,2018,12,2017,10
A728138,,E Slaughter Ln And Brandt Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Chihuahua Longhair Mix,Tricolor,Neutered Male,1.0,0.0,2016,5,2016,6,2015,5
A805785,Bebe,6811 Cougar Run in Austin (TX),Stray,Normal,Bird,Unknown,0.5,Lovebird,Green/Orange,Unknown,0.5,0.0,2019,10,2019,10,2019,4
A685637,Goldy,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,0.75,German Shepherd Mix,Tan/White,Neutered Male,0.8333333333333333,0.0,2014,8,2014,8,2013,10
A777480,Socks,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,0.5833333333333333,Border Collie/Labrador Retriever,Black/White,Spayed Female,0.6666666666666666,0.0,2018,7,2018,8,2017,11
A678666,,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0.016438356164383564,Domestic Shorthair Mix,Blue,Neutered Male,0.16666666666666666,0.0,2014,5,2014,7,2014,5
A667037,*Dexter,8806 Redfield Dr. in Austin (TX),Stray,Normal,Dog,Intact Male,0.75,Labrador Retriever/Pit Bull,Brown Brindle/White,Neutered Male,0.8333333333333333,0.0,2013,11,2013,11,2013,1
A734870,,12100 Park 35 Circle in Austin (TX),Stray,Normal,Cat,Intact Female,1.0,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,1.0,0.0,2016,9,2016,9,2015,9
A735619,Mya,Leander (TX),Owner Surrender,Sick,Dog,Spayed Female,0.8333333333333333,German Shepherd Mix,Black/Tan,Spayed Female,0.9166666666666666,0.0,2016,10,2016,11,2015,11
A751831,Petey,12304 Knoll Ridge in Austin (TX),Stray,Normal,Dog,Intact Male,17.0,Chihuahua Shorthair Mix,White/Black,Intact Male,17.0,0.0,2017,6,2017,6,2000,6
A717537,*Peppermint,Montoplis Dr And Monsanto Dr in Austin (TX),Stray,Normal,Dog,Intact Female,0.5,Dachshund Mix,Tricolor,Spayed Female,0.5,0.0,2015,12,2015,12,2015,6
A737284,,12905 Vinyard in Austin (TX),Wildlife,Sick,Other,Unknown,2.0,Raccoon Mix,Black/Gray,Unknown,2.0,1.0,2016,10,2016,10,2014,10
A553385,Louie,20700 Huckabee Bend in Pflugerville (TX),Stray,Normal,Cat,Neutered Male,9.0,Domestic Medium Hair Mix,Orange Tabby,Neutered Male,9.0,0.0,2018,7,2018,7,2008,10
A797239,,Rickem Cove And Bittern Hollow in Austin (TX),Stray,Normal,Cat,Intact Female,0.25,Domestic Shorthair,Brown Tabby,Intact Female,0.3333333333333333,0.0,2019,6,2019,6,2019,2
A778764,*Gumbo,9301 Johnny Morris in Austin (TX),Stray,Normal,Dog,Intact Female,0.75,Pit Bull Mix,Chocolate/White,Spayed Female,0.8333333333333333,0.0,2018,8,2018,9,2017,10
A702410,Miley,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4.0,Domestic Shorthair Mix,Orange Tabby,Spayed Female,4.0,0.0,2015,5,2015,8,2011,5
A788156,*Jewel,5810 Trade Center Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Catahoula/Australian Cattle Dog,Tricolor,Spayed Female,1.0,0.0,2019,1,2019,2,2018,1
A685646,,14300 Hokanson Rd in Travis (TX),Stray,Sick,Dog,Intact Male,0.5,Catahoula Mix,White/Tan,Intact Male,0.5,0.0,2014,8,2014,8,2014,2
A706245,,1501 Fm 973 in Travis (TX),Stray,Nursing,Cat,Intact Female,0.038461538461538464,Domestic Shorthair Mix,Tortie,Intact Female,0.038461538461538464,0.0,2015,6,2015,6,2015,6
A685828,Bones,Manor (TX),Public Assist,Normal,Dog,Intact Male,8.0,Pit Bull Mix,Blue/White,Intact Male,8.0,0.0,2014,8,2014,8,2006,2
A709464,Bandit,Woodland Ave And Sylvan Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Standard Schnauzer Mix,Tricolor,Intact Male,1.0,0.0,2015,8,2015,8,2014,4
A804506,,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.16666666666666666,Domestic Medium Hair Mix,Brown Tabby,Spayed Female,0.16666666666666666,0.0,2019,9,2019,9,2019,7
A704209,*Hansel,10001 Burleson Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Labrador Retriever,Black,Neutered Male,1.0,0.0,2015,6,2015,6,2014,6
A710172,Leonard,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,6.0,Siamese Mix,Flame Point,Neutered Male,6.0,0.0,2015,8,2015,8,2009,8
A801073,Mami,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.75,Domestic Shorthair,Brown Tabby/White,Spayed Female,0.8333333333333333,0.0,2019,7,2019,8,2018,9
A738843,Charcoal,1803 Palma Plz in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,7.0,Domestic Shorthair Mix,Blue/White,Neutered Male,7.0,0.0,2016,11,2016,12,2009,11
