Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,Time_In_Shelter,Neutered_Spayed_In_Shelter,percent
A814467,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,2,2020,3,2018,3,0.0,No,0.14641288433382138
A814466,Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,1.0,Mixed-Breed,Mixed-Color,Intact Male,1.0,0.0,2020,2,2020,3,2019,3,0.0,No,0.14641288433382138
A814465,Named,Austin (TX),Public Assist,Normal,Dog,Neutered Male,3.0,Cross-Breed,Pure-Color,Neutered Male,3.0,0.0,2020,2,2020,3,2016,4,0.0,No,0.14641288433382138
A814464,Unnamed,Austin (TX),Wildlife,Sick,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,2,2020,2,2018,3,0.0,No,0.14641288433382138
A814463,Named,Other (TX),Owner Surrender,Normal,Dog,Neutered Male,1.0,Pure-Breed,Pure-Color,Neutered Male,1.0,0.0,2020,2,2020,3,2018,6,0.0,No,0.14641288433382138
A814462,Named,Other (TX),Stray,Normal,Dog,Intact Female,2.0,Pure-Breed,Mixed-Color,Spayed Female,2.0,0.0,2020,2,2020,3,2018,3,0.0,Yes,0.33444816053511706
A814461,Named,Austin (TX),Stray,Injured,Dog,Intact Male,0.41666666666666663,Cross-Breed,Mixed-Color,Intact Male,0.41666666666666663,0.0,2020,2,2020,3,2019,9,0.0,No,0.14641288433382138
A814458,Named,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,0.25,Mixed-Breed,Mixed-Color,Neutered Male,0.25,0.0,2020,2,2020,3,2019,11,0.0,No,0.14641288433382138
A814457,Named,Other (TX),Stray,Normal,Dog,Intact Female,1.0,Pure-Breed,Mixed-Color,Intact Female,1.0,0.0,2020,2,2020,3,2019,3,0.0,No,0.14641288433382138
A814456,Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,0.010958904109589041,Mixed-Breed,Pure-Color,Intact Female,0.010958904109589041,0.0,2020,2,2020,2,2020,2,0.0,No,0.14641288433382138
A814455,Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,0.010958904109589041,Mixed-Breed,Pure-Color,Intact Male,0.010958904109589041,0.0,2020,2,2020,2,2020,2,0.0,No,0.14641288433382138
A814454,Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,0.010958904109589041,Mixed-Breed,Pure-Color,Intact Male,0.010958904109589041,0.0,2020,2,2020,2,2020,2,0.0,No,0.14641288433382138
A814453,Unnamed,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,0.25,Mixed-Breed,Mixed-Color,Spayed Female,0.25,0.0,2020,2,2020,3,2019,11,0.0,No,0.14641288433382138
A814452,Named,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,0.25,Mixed-Breed,Mixed-Color,Neutered Male,0.25,0.0,2020,2,2020,3,2019,11,0.0,No,0.14641288433382138
A814451,Named,Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Cross-Breed,Mixed-Color,Neutered Male,1.0,0.0,2020,2,2020,3,2019,3,0.0,Yes,0.33444816053511706
A814450,Named,Other (TX),Stray,Aged,Dog,Intact Male,14.0,Pure-Breed,Mixed-Color,Intact Male,14.0,0.0,2020,2,2020,2,2006,3,0.0,No,0.14641288433382138
A814449,Unnamed,Austin (TX),Stray,Normal,Dog,Intact Male,0.3333333333333333,Mixed-Breed,Mixed-Color,Neutered Male,0.3333333333333333,0.0,2020,2,2020,3,2019,10,0.0,Yes,0.33444816053511706
A814448,Unnamed,Austin (TX),Stray,Normal,Dog,Intact Female,0.5,Mixed-Breed,Mixed-Color,Spayed Female,0.5,0.0,2020,2,2020,3,2019,8,0.0,Yes,0.33444816053511706
A814447,Unnamed,Austin (TX),Stray,Injured,Cat,Intact Male,5.0,Pure-Breed,Pure-Color,Intact Male,5.0,0.0,2020,2,2020,3,2015,3,0.0,No,0.14641288433382138
A814446,Unnamed,Austin (TX),Stray,Normal,Cat,Unknown,1.0,Mixed-Breed,Pure-Color,Unknown,1.0,0.0,2020,2,2020,3,2019,3,0.0,No,0.14641288433382138
A814445,Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,2.0,Mixed-Breed,Mixed-Color,Intact Male,2.0,0.0,2020,2,2020,3,2018,3,0.0,No,0.14641288433382138
A814444,Named,Other (TX),Stray,Aged,Dog,Spayed Female,15.0,Pure-Breed,Pure-Color,Spayed Female,15.0,0.0,2020,2,2020,2,2005,3,0.0,No,0.14641288433382138
