Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,percent,Time_In_Shelter,Neutered_Spayed_In_Shelter
Named,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1.0,Mixed-Breed,Pure-Color,Spayed Female,1.0,0.0,2016,11,2016,12,2015,11,0.2849002849002849,0.0,Yes
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,1.0,Mixed-Breed,Pure-Color,Intact Female,1.0,0.0,2017,9,2017,9,2016,9,0.15408320493066258,0.0,No
Named,Other (TX),Stray,Normal,Dog,Intact Male,0.9166666666666666,Mixed-Breed,Mixed-Color,Intact Male,0.9166666666666666,0.0,2016,5,2016,5,2015,6,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Male,0.08333333333333333,Mixed-Breed,Pure-Color,Neutered Male,0.16666666666666666,0.0,2016,4,2016,4,2016,2,0.2849002849002849,0.08333333333333333,Yes
Named,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2.0,Mixed-Breed,Pure-Color,Neutered Male,2.0,0.0,2017,6,2017,8,2015,6,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Dog,Intact Female,0.16666666666666666,Cross-Breed,Mixed-Color,Spayed Female,0.25,0.0,2017,12,2017,12,2017,9,0.2849002849002849,0.08333333333333334,Yes
Named,Austin (TX),Stray,Normal,Dog,Spayed Female,16.0,Mixed-Breed,Pure-Color,Spayed Female,16.0,0.0,2018,10,2018,10,2002,10,0.15408320493066258,0.0,No
Unnamed,Other (TX),Public Assist,Normal,Bird,Intact Female,1.0,Pure-Breed,Pure-Color,Intact Female,1.0,0.0,2018,9,2018,9,2017,9,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Wildlife,Injured,Other,Unknown,1.0,Pure-Breed,Mixed-Color,Unknown,1.0,1.0,2016,3,2016,3,2015,3,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Neutered Male,7.0,Cross-Breed,Mixed-Color,Neutered Male,7.0,0.0,2016,2,2016,2,2009,2,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Cat,Intact Male,0.07692307692307693,Mixed-Breed,Pure-Color,Neutered Male,0.16666666666666666,0.0,2015,6,2015,7,2015,5,0.2849002849002849,0.08974358974358973,Yes
Unnamed,Austin (TX),Stray,Normal,Cat,Unknown,0.010958904109589041,Mixed-Breed,Pure-Color,Unknown,0.010958904109589041,0.0,2016,4,2016,4,2016,4,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Wildlife,Injured,Other,Unknown,0.5,Mixed-Breed,Pure-Color,Unknown,0.5,1.0,2014,9,2014,9,2014,3,0.15408320493066258,0.0,No
